geneNames	transcriptNames	id	fc	pval	qval
.	gene-DIJ64_RS18560	1840	0.638413989244186	0.000304650086501601	0.370254270436654
.	gene-DIJ64_RS21400	1343	1.40849482627759	0.000381871883351037	0.370254270436654
.	gene-DIJ64_RS04330	887	0.968032507048347	0.00047852778530344	0.370254270436654
.	gene-DIJ64_RS21230	929	0.947287204052326	0.000492359402176401	0.370254270436654
.	gene-DIJ64_RS01285	249	0.692628788516826	0.00064912946738005	0.390516287575838
.	gene-DIJ64_RS01500	289	1.1379513172487	0.000911397767647815	0.40005334790133
.	gene-DIJ64_RS21165	831	0.603925638942604	0.000930975211206553	0.40005334790133
.	gene-DIJ64_RS10190	2115	1.26388086286425	0.00147536554447814	0.503442704029174
.	gene-DIJ64_RS22250	2934	1.41151839026446	0.00150631128200218	0.503442704029174
.	gene-DIJ64_RS18390	1644	0.0731825661962274	0.00185476427071429	0.557913092630859
.	gene-DIJ64_RS15665	2375	0.243421625214197	0.00210605448113332	0.565225184071275
.	gene-DIJ64_RS06005	1234	0.131903759633412	0.002254887702412	0.565225184071275
.	gene-DIJ64_RS00940	178	0.875345920994148	0.00282291855484196	0.627124962432104
.	gene-DIJ64_RS07865	1619	1.48700919513122	0.00302972666085521	0.627124962432104
.	gene-DIJ64_RS21750	1989	0.0615156227410471	0.0031272853844686	0.627124962432104
.	gene-DIJ64_RS02640	534	1.24684410911055	0.00350566877528879	0.659065729754293
.	gene-DIJ64_RS11485	2385	0.723097608836661	0.00404941221811095	0.669154399372715
.	gene-DIJ64_RS14390	3001	1.06285544581581	0.00412896238080074	0.669154399372715
.	gene-DIJ64_RS07750	1597	1.21427894876207	0.00422670664497393	0.669154399372715
.	gene-DIJ64_RS11330	2352	1.30759107967978	0.00465844540155869	0.700630188394426
.	gene-DIJ64_RS08195	1689	1.53910312985235	0.00675462046614017	0.723350105883953
.	gene-DIJ64_RS18345	1612	1.40095866322342	0.00684724312176832	0.723350105883953
.	gene-DIJ64_RS15070	311	0.605143637891578	0.00685299227620439	0.723350105883953
.	gene-DIJ64_RS00270	50	1.3125708631685	0.00711334536311381	0.723350105883953
.	gene-DIJ64_RS21475	1520	1.0788519099936	0.00731007059708166	0.723350105883953
.	gene-DIJ64_RS02075	408	0.603255573540453	0.00750738146507079	0.723350105883953
.	gene-DIJ64_RS12430	2589	1.17140071879735	0.00755152823553473	0.723350105883953
.	gene-DIJ64_RS18415	1671	0.935590150739274	0.00823173217733519	0.723350105883953
.	gene-DIJ64_RS20305	556	1.23466953073808	0.00838593738647542	0.723350105883953
.	gene-DIJ64_RS00335	62	1.34103967120235	0.00853710832384991	0.723350105883953
